"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:1497","Ich steh auf diese ganze Scheiße!","I love this shit!","","False","SVM_9_MonsterKilled","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Mattes.d:5","Dexter hat die Steckbriefe verteilt. Typen mit schwarzen Kapuzen haben ihn damit beauftragt.","Dexter handed out the wanted posters. He was told to do so by some men in black hoods.","","False","Topic_Bandits_3","",""
"Scripts/Content/Story/NPC/Monster/MST_Scavenger_Demon.d:4","Scavenger","Scavenger","","False","Mst_Default_Scavenger_Demon.name","",""
"Scripts/Content/Items/IT_AnimalTrophy.d:266","Lurkerhaut","Lurker Skin","","False","itat_LurkerSkin.name","",""
"Scripts/Content/Items/IT_AnimalTrophy.d:272","Eine Lurkerhaut","A lurker's skin.","","False","itat_LurkerSkin.description","",""
"Scripts/Content/Items/IT_Runen.d:2","Paladin Zauber","Paladin Zauber","","False","Name_PaladinSpell","",""
"Scripts/Content/Items/IT_Scrolls.d:2","Paladin Zauber","Paladin Zauber","","False","Name_PaladinScroll","",""
"Scripts/Content/Story/Text.d:166","Drache","Dragon","","True","TXT_GUILDS[48]","",""
"Scripts/Content/Story/Text.d:173","Ork","Orc","","False","TXT_GUILDS[55]","",""
"Scripts/Content/Story/Text.d:174","Ork","Orc","","False","TXT_GUILDS[56]","",""
"Scripts/Content/Story/Text.d:175","Untoter Ork","Undead Orc","","False","TXT_GUILDS[57]","",""
"Scripts/Content/Story/Text.d:176","Drakonier","Draconian","","False","TXT_GUILDS[58]","",""
"Scripts/Content/Story/Text.d:322","Schlösser öffnen","Pick Locks","","False","TXT_TALENTS[5]","",""
"Scripts/Content/Story/Text.d:452","Selbstgeschmiedetes Schwert","Self-forged Sword","","False","NAME_ItMw_1H_Common_01","",""
"Scripts/Content/Story/Text.d:542","Bring mir bei, wie man ein ordentliches Schwert schmiedet!","Teach me how to forge a decent sword!","","False","NAME_LEARN_SWORD","",""
"Scripts/Content/Story/Text.d:554","Innos erhört dich und schenkt dir: Stärke + ","Innos hears you and gives you: Strength + ","","False","PRINT_BlessSTR","",""
"Scripts/Content/Story/Text.d:555","Innos erhört dich und schenkt dir: Geschicklichkeit + ","Innos hears you and gives you: Dexterity + ","","False","PRINT_BlessDEX","",""
"Scripts/Content/Story/Text.d:556","Innos erhört dich und schenkt dir: Mana + ","Innos hears you and gives you: Mana + ","","False","PRINT_BlessMANA_MAX","",""
"Scripts/Content/Story/Text.d:557","Innos erhört dich und schenkt dir: Lebensenergie + ","Innos hears you and gives you: Hitpoints + ","","False","PRINT_BlessHitpoints_MAX","",""
"Scripts/Content/Story/Text.d:558","Innos erhört dich und du bist erfüllt von geistiger Klarheit.","Innos hears you and fills your spirit with clarity.","","False","PRINT_BlessMANA","",""
"Scripts/Content/Story/Text.d:560","Innos erhört dich du fühlst dich wie neugeboren.","Innos hears you and you feel reborn.","","False","Print_BlessMana_Hit","",""
"Scripts/Content/Story/Text.d:584","Stärke +1","Strength + 1","","False","PRINT_STR1","",""
"Scripts/Content/Story/Text.d:585","Mana +10","Mana + 10","","False","PRINT_MANA10","",""
"Scripts/Content/Story/Text.d:586","Geschicklichkeit + 2","Dexterity + 2","","False","PRINT_DEX2","",""
