"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:1497","Ich steh auf diese ganze Scheiße!","Мне это даже нравится!","","False","SVM_9_MonsterKilled","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Mattes.d:5","Dexter hat die Steckbriefe verteilt. Typen mit schwarzen Kapuzen haben ihn damit beauftragt.","Декстер раздавал бумаги с обещанием награды за мою голову. Ему приказали сделать это люди в черных рясах.","","False","Topic_Bandits_3","",""
"Scripts/Content/Story/NPC/Monster/MST_Scavenger_Demon.d:4","Scavenger","Падальщик","","False","Mst_Default_Scavenger_Demon.name","",""
"Scripts/Content/Items/IT_AnimalTrophy.d:266","Lurkerhaut","Шкура луркера","","False","itat_LurkerSkin.name","",""
"Scripts/Content/Items/IT_AnimalTrophy.d:272","Eine Lurkerhaut","Шкура луркера.","","False","itat_LurkerSkin.description","",""
"Scripts/Content/Items/IT_Runen.d:2","Paladin Zauber","Магия паладинов","","False","Name_PaladinSpell","",""
"Scripts/Content/Items/IT_Scrolls.d:2","Paladin Zauber","Магия паладинов","","False","Name_PaladinScroll","",""
"Scripts/Content/Story/Text.d:173","Ork","Орк","","False","TXT_GUILDS[55]","",""
"Scripts/Content/Story/Text.d:174","Ork","Орк","","False","TXT_GUILDS[56]","",""
"Scripts/Content/Story/Text.d:175","Untoter Ork","Орк-нежить","","False","TXT_GUILDS[57]","",""
"Scripts/Content/Story/Text.d:176","Drakonier","Драконид","","False","TXT_GUILDS[58]","",""
"Scripts/Content/Story/Text.d:322","Schlösser öffnen","Взлом замков","","False","TXT_TALENTS[5]","",""
"Scripts/Content/Story/Text.d:452","Selbstgeschmiedetes Schwert","Самодельный меч","","False","NAME_ItMw_1H_Common_01","",""
"Scripts/Content/Story/Text.d:542","Bring mir bei, wie man ein ordentliches Schwert schmiedet!","Научи меня ковать хорошие мечи!","","False","NAME_LEARN_SWORD","",""
"Scripts/Content/Story/Text.d:554","Innos erhört dich und schenkt dir: Stärke + ","Иннос слышит тебя и дарует: Сила + ","","False","PRINT_BlessSTR","",""
"Scripts/Content/Story/Text.d:555","Innos erhört dich und schenkt dir: Geschicklichkeit + ","Иннос слышит тебя и дарует: Ловкость + ","","False","PRINT_BlessDEX","",""
"Scripts/Content/Story/Text.d:556","Innos erhört dich und schenkt dir: Mana + ","Иннос слышит тебя и дарует: Мана + ","","False","PRINT_BlessMANA_MAX","",""
"Scripts/Content/Story/Text.d:557","Innos erhört dich und schenkt dir: Lebensenergie + ","Иннос слышит тебя и дарует: Здоровье + ","","False","PRINT_BlessHitpoints_MAX","",""
"Scripts/Content/Story/Text.d:558","Innos erhört dich und du bist erfüllt von geistiger Klarheit.","Иннос слышит тебя и очищает твой дух.","","False","PRINT_BlessMANA","",""
"Scripts/Content/Story/Text.d:560","Innos erhört dich du fühlst dich wie neugeboren.","Иннос слышит тебя, и ты чувствуешь себя так, как будто родился заново.","","False","Print_BlessMana_Hit","",""
"Scripts/Content/Story/Text.d:584","Stärke +1","Сила +1","","False","PRINT_STR1","",""
"Scripts/Content/Story/Text.d:585","Mana +10","Мана +10","","False","PRINT_MANA10","",""
"Scripts/Content/Story/Text.d:586","Geschicklichkeit + 2","Ловкость +2","","False","PRINT_DEX2","",""
