"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_BAU_931_Till.d:308","Ich will mehr.","Quiero más.","","False","DIA_Till_BRONKOZURARBEIT_mehr.DIA_Till_BRONKOZURARBEIT.DIA_Till_BRONKOZURARBEIT_mehr","AI_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:49","Aber es stimmt. Ich habe meinen Jungs die Steckbriefe gegeben. Ich hatte keine andere Wahl.","Pero es cierto. Le di a mis muchachos los carteles de 'se busca'. No me quedaba más remedio.","","False","DIA_Dexter_Hallo_09_04","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:50","Als ich versuchte, aus dem Minental zu entfliehen, entdeckten mich die Soldaten und trieben mich in eine Falle.","Cuando intenté huir del Valle de las Minas, los soldados me descubrieron y me condujeron a una trampa.","","False","DIA_Dexter_Hallo_09_05","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:51","Ich dachte schon, das wäre mein Ende, aber dann tauchte plötzlich aus der Dunkelheit diese ... Gestalt auf.","Pensé que había llegado mi fin, pero de pronto... de la oscuridad surgió una figura.","","False","DIA_Dexter_Hallo_09_06","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:52","Er trug eine schwarze Robe mit Kapuze und eine Maske überm Gesicht. Und er sprach mit einer Stimme, die alles andere als menschlich war.","Llevaba una túnica negra con capucha y una máscara en la cara, y hablaba con una voz absolutamente inhumana.","","False","DIA_Dexter_Hallo_09_07","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:53","Aber er bot mir seine Hilfe an. Er brachte mich aus dem Tal und bot mir eintausend Goldstücke für deinen Kopf.","Pero me ofreció su ayuda. Me sacó del valle y me ofreció mil monedas de oro por tu cabeza.","","False","DIA_Dexter_Hallo_09_08","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:54","Hey, was sollte ich machen? Wenn ich abgelehnt hätte, dann hätte er mich getötet!","¿Qué se supone que tenía que hacer? ¡Si me negaba, me habría matado!","","False","DIA_Dexter_Hallo_09_09","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:94","Wo finde ich diesen Mann?","¿Dónde puedo encontrar a ese hombre?","","False","DIA_DEXTER_WO.description","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:108","Wo finde ich diesen Mann?","¿Dónde puedo encontrar a ese hombre?","","False","DIA_Dexter_Wo_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:111","Ich glaube, der sitzt irgendwo im Minental.","Creo que está en algún lugar del Valle de las Minas.","","False","DIA_Dexter_Wo_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:115","Der Typ ist hier! Und nicht alleine. Da ist ein ganzer Haufen dieser Kerle überall unterwegs! Und die suchen dich.","¡Ese tipo está por aquí, y no está solo! Hay un montón de esos tipos por todas partes, y te están buscando.","","False","DIA_Dexter_Wo_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_BDT_1060_Dexter.d:171","Ich habe dich gewarnt. Wenn ich dich nicht töte, wird er mich töten. Also lässt du mir keine Wahl.","Te lo advertí. Si no te mato, me matará él. No me dejas otra opción.","","False","DIA_Dexter_Kill_09_00","",""
