"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:1497","Ich steh auf diese ganze Scheiße!","Miluju tohle svinstvo!","","False","SVM_9_MonsterKilled","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Mattes.d:5","Dexter hat die Steckbriefe verteilt. Typen mit schwarzen Kapuzen haben ihn damit beauftragt.","Ty letáky o odměně vypsané na mou hlavu šířil Dexter. Prý mu to nařídili nějací muži v černých hábitech.","","False","Topic_Bandits_3","",""
"Scripts/Content/Story/NPC/Monster/MST_Scavenger_Demon.d:4","Scavenger","Mrchožrout","","False","Mst_Default_Scavenger_Demon.name","",""
"Scripts/Content/Items/IT_AnimalTrophy.d:266","Lurkerhaut","Kůže číhavce","","False","itat_LurkerSkin.name","",""
"Scripts/Content/Items/IT_AnimalTrophy.d:272","Eine Lurkerhaut","Kůže stažená z číhavce.","","False","itat_LurkerSkin.description","",""
"Scripts/Content/Items/IT_Runen.d:2","Paladin Zauber","Kouzla paladinů","","False","Name_PaladinSpell","",""
"Scripts/Content/Items/IT_Scrolls.d:2","Paladin Zauber","Kouzla paladinů","","False","Name_PaladinScroll","",""
"Scripts/Content/Story/Text.d:166","Drache","Drak","","False","TXT_GUILDS[48]","",""
"Scripts/Content/Story/Text.d:173","Ork","Skřet","","False","TXT_GUILDS[55]","",""
"Scripts/Content/Story/Text.d:174","Ork","Skřet","","False","TXT_GUILDS[56]","",""
"Scripts/Content/Story/Text.d:175","Untoter Ork","Nemrtvý skřet","","False","TXT_GUILDS[57]","",""
"Scripts/Content/Story/Text.d:176","Drakonier","Ještěran","","False","TXT_GUILDS[58]","",""
"Scripts/Content/Story/Text.d:322","Schlösser öffnen","Páčení zámků","","False","TXT_TALENTS[5]","",""
"Scripts/Content/Story/Text.d:452","Selbstgeschmiedetes Schwert","Meč vlastní výroby","","False","NAME_ItMw_1H_Common_01","",""
"Scripts/Content/Story/Text.d:542","Bring mir bei, wie man ein ordentliches Schwert schmiedet!","Nauč mě vykovat prostý meč!","","False","NAME_LEARN_SWORD","",""
"Scripts/Content/Story/Text.d:554","Innos erhört dich und schenkt dir: Stärke + ","Innos tě vyslyšel a poskytl ti: Sílu + ","","False","PRINT_BlessSTR","",""
"Scripts/Content/Story/Text.d:555","Innos erhört dich und schenkt dir: Geschicklichkeit + ","Innos tě vyslyšel a poskytl ti: Obratnost + ","","False","PRINT_BlessDEX","",""
"Scripts/Content/Story/Text.d:556","Innos erhört dich und schenkt dir: Mana + ","Innos tě vyslyšel a poskytl ti: Manu + ","","False","PRINT_BlessMANA_MAX","",""
"Scripts/Content/Story/Text.d:557","Innos erhört dich und schenkt dir: Lebensenergie + ","Innos tě vyslyšel a poskytl ti: Životní energii + ","","False","PRINT_BlessHitpoints_MAX","",""
"Scripts/Content/Story/Text.d:558","Innos erhört dich und du bist erfüllt von geistiger Klarheit.","Innos tě vyslyšel a naplnil tvou duši pochopením.","","False","PRINT_BlessMANA","",""
"Scripts/Content/Story/Text.d:560","Innos erhört dich du fühlst dich wie neugeboren.","Innos tě vyslyšel a ty se cítíš jako znovuzrozený.","","False","Print_BlessMana_Hit","",""
"Scripts/Content/Story/Text.d:584","Stärke +1","Síla + 1","","False","PRINT_STR1","",""
"Scripts/Content/Story/Text.d:585","Mana +10","Mana + 10","","False","PRINT_MANA10","",""
"Scripts/Content/Story/Text.d:586","Geschicklichkeit + 2","Obratnost + 2","","False","PRINT_DEX2","",""
